Player_Name,Position,Minutes_Played_Per_Game,Points_Per_Game,Rebounds_Per_Game,Assists_Per_Game,Steals_Per_Game,Blocks_Per_Game,Turnovers_Per_Game,Field_Goal_Percent,Three_Point_Percent,Free_Throw_Percent
Dazia Lawrence,Guard,33.0,18.2,4.2,2.7,1.8,0.1,3.0,0.426,0.313,0.800
Tracey Hueston,Forward,21.5,11.5,4.2,2.7,1.8,1,3.2,0.444,0.370,0.705
Keanna Rembert,Forward,28.5,8.4,5.3,1.4,0.7,0.4,2.7,0.429,0.167,0.758
Jacee Busick,Guard,31.1,7.0,5.3,1.3,0.6,0.3,1.1,0.36,0.357,0.907
Olivia Porter,Guard,31.4,6.2,3.5,3.3,1.5,0.3,2.9,0.399,0.364,0.74
Imani Smith,Guard,24.1,5.1,4.3,1.9,1.9,0.6,1.2,0.26,0.240,0.708
Tamia Davis,Guard,5.5,3.5,0.7,0.1,0.3,0,0.3,0.452,0.452,
Jewel Watkins,Guard/Forward,11.2,2.5,1.9,0.3,0.5,0.3,1.2,0.282,0.188,0.636
Aylesha Wade,Guard,8.6,2.4,0.7,0.6,0.6,0.1,1,0.295,0.217,0.727
Fatou Diakite,Forward,10.0,2.4,3.1,0.2,0.5,0.4,1.3,0.356,0.000,0.593
Nia Young,Guard,13.1,2.2,1.4,0.3,0.4,0.2,0.7,0.311,0.310,0.588
Caroline Thiel,Forward,5.5,1.2,0.7,0.2,0.4,0.2,0.2,0.714,0.750,0
Anna Ekerstedt,Forward,7.0,1.0,0.5,0,0,0.5,0.5,0.5,0.000,